vintage_year,target_year,projected_births,forecast_basis,forecast_source_url,forecast_published_date,notes
2017,2052,615457,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2053,607226,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2054,599452,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2055,592174,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2056,585383,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2057,579027,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2058,573032,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2059,567329,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2060,561859,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2061,556573,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2062,551416,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2063,546335,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2064,541280,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2017,2065,536210,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2017/db_zenkoku2017/s_tables/1-8(J).xls,2017-04,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2021,813120,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2022,765765,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2023,739083,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2024,755263,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2025,748709,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2026,744077,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2027,743231,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2028,743536,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2029,742939,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2030,741449,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2031,738909,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2032,735149,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2033,729682,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2034,723376,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2035,716323,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2036,708631,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2037,700537,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2038,692163,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2039,683577,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2040,674816,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2041,665860,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2042,656665,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2043,647164,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2044,637289,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2045,626980,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2046,616209,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2047,605014,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2048,593492,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2049,581811,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2050,570193,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2051,558847,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2052,547999,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2053,537873,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2054,528602,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2055,520265,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2056,512892,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2057,506436,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2058,500828,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2059,495986,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2060,491776,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2061,488026,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2062,484567,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2063,481252,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2064,477946,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2065,474523,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2066,470887,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2067,466979,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2068,462763,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2069,458227,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
2023,2070,453380,japanese,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2023/db_zenkoku2023/s_tables/1-8(J).xlsx,2023-04-26,表1-8(J)(日本人人口・出生中位・死亡中位推計)
