issue,issue_kind,restated_from,target_fiscal_year,real_low,real_high,real_median,cpi_low,cpi_high,cpi_median,cpi_extax_low,cpi_extax_high,cpi_extax_median,source_url,notes
2015-10,restated,2015-07,2015,1.5,1.9,1.7,0.3,1.0,0.7,,,,https://www.boj.or.jp/mopo/outlook/gor1510a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「７月時点の見通し」行。CPI2列結合。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2015-10,restated,2015-07,2016,1.5,1.7,1.5,1.2,2.1,1.9,,,,https://www.boj.or.jp/mopo/outlook/gor1510a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「７月時点の見通し」行。CPI2列結合。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2015-10,restated,2015-07,2017,0.1,0.5,0.2,2.7,3.4,3.1,1.4,2.1,1.8,https://www.boj.or.jp/mopo/outlook/gor1510a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2016-01,main,,2015,1.0,1.3,1.1,0.0,0.2,0.1,0.0,0.2,0.1,https://www.boj.or.jp/mopo/outlook/gor1601a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-01,main,,2016,1.0,1.7,1.5,0.2,1.2,0.8,0.2,1.2,0.8,https://www.boj.or.jp/mopo/outlook/gor1601a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-01,main,,2017,0.1,0.5,0.3,2.0,3.1,2.8,1.0,2.1,1.8,https://www.boj.or.jp/mopo/outlook/gor1601a.pdf,
2016-01,restated,2015-10,2015,0.8,1.4,1.2,0.0,0.4,0.1,0.0,0.4,0.1,https://www.boj.or.jp/mopo/outlook/gor1601a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-01,restated,2015-10,2016,1.2,1.6,1.4,0.8,1.5,1.4,0.8,1.5,1.4,https://www.boj.or.jp/mopo/outlook/gor1601a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-01,restated,2015-10,2017,0.1,0.5,0.3,2.5,3.4,3.1,1.2,2.1,1.8,https://www.boj.or.jp/mopo/outlook/gor1601a.pdf,
2016-04,main,,2015,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,2015年度CPIは単一値(注5、実績値)。第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-04,main,,2016,0.8,1.4,1.2,0.0,0.8,0.5,0.0,0.8,0.5,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-04,main,,2017,0.0,0.3,0.1,1.8,3.0,2.7,0.8,2.0,1.7,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,
2016-04,main,,2018,0.6,1.2,1.0,1.0,2.1,1.9,1.0,2.1,1.9,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。前号に無い最遠年度のため再掲行なし
2016-04,restated,2016-01,2015,1.0,1.3,1.1,0.0,0.2,0.1,0.0,0.2,0.1,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-04,restated,2016-01,2016,1.0,1.7,1.5,0.2,1.2,0.8,0.2,1.2,0.8,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-04,restated,2016-01,2017,0.1,0.5,0.3,2.0,3.1,2.8,1.0,2.1,1.8,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,
2016-07,main,,2016,0.8,1.0,1.0,0.0,0.3,0.1,0.0,0.3,0.1,https://www.boj.or.jp/mopo/outlook/gor1607a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-07,main,,2017,1.0,1.5,1.3,0.8,1.8,1.7,0.8,1.8,1.7,https://www.boj.or.jp/mopo/outlook/gor1607a.pdf,消費税率引き上げ延期(2019年10月へ)により第3列はCPIと同一セルとして結合表示
2016-07,main,,2018,0.8,1.0,0.9,1.0,2.0,1.9,1.0,2.0,1.9,https://www.boj.or.jp/mopo/outlook/gor1607a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-07,restated,2016-04,2016,0.8,1.4,1.2,0.0,0.8,0.5,0.0,0.8,0.5,https://www.boj.or.jp/mopo/outlook/gor1607a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-07,restated,2016-04,2017,0.0,0.3,0.1,1.8,3.0,2.7,0.8,2.0,1.7,https://www.boj.or.jp/mopo/outlook/gor1607a.pdf,再掲行は2016年4月号時点(消費税2017年4月引き上げ想定)の値。第3列は当時別カラム表示
2016-07,restated,2016-04,2018,0.6,1.2,1.0,1.0,2.1,1.9,1.0,2.1,1.9,https://www.boj.or.jp/mopo/outlook/gor1607a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2016-10,main,,2016,0.8,1.0,1.0,-0.3,-0.1,-0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1610a.pdf,第3列なし(消費税率引き上げ延期のため)
2016-10,main,,2017,1.0,1.5,1.3,0.6,1.6,1.5,,,,https://www.boj.or.jp/mopo/outlook/gor1610a.pdf,第3列なし(消費税率引き上げ延期のため)
2016-10,main,,2018,0.8,1.0,0.9,0.9,1.9,1.7,,,,https://www.boj.or.jp/mopo/outlook/gor1610a.pdf,第3列なし(消費税率引き上げ延期のため)
2016-10,restated,2016-07,2016,0.8,1.0,1.0,0.0,0.3,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1610a.pdf,第3列なし(消費税率引き上げ延期のため)
2016-10,restated,2016-07,2017,1.0,1.5,1.3,0.8,1.8,1.7,,,,https://www.boj.or.jp/mopo/outlook/gor1610a.pdf,第3列なし(消費税率引き上げ延期のため)
2016-10,restated,2016-07,2018,0.8,1.0,0.9,1.0,2.0,1.9,,,,https://www.boj.or.jp/mopo/outlook/gor1610a.pdf,第3列なし(消費税率引き上げ延期のため)
2017-01,main,,2016,1.2,1.5,1.4,-0.2,-0.1,-0.2,,,,https://www.boj.or.jp/mopo/outlook/gor1701a.pdf,第3列なし(消費税率引き上げ延期のため)
2017-01,main,,2017,1.3,1.6,1.5,0.8,1.6,1.5,,,,https://www.boj.or.jp/mopo/outlook/gor1701a.pdf,第3列なし(消費税率引き上げ延期のため)
2017-01,main,,2018,1.0,1.2,1.1,0.9,1.9,1.7,,,,https://www.boj.or.jp/mopo/outlook/gor1701a.pdf,第3列なし(消費税率引き上げ延期のため)
2017-01,restated,2016-10,2016,0.8,1.0,1.0,-0.3,-0.1,-0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1701a.pdf,第3列なし(消費税率引き上げ延期のため)
2017-01,restated,2016-10,2017,1.0,1.5,1.3,0.6,1.6,1.5,,,,https://www.boj.or.jp/mopo/outlook/gor1701a.pdf,第3列なし(消費税率引き上げ延期のため)
2017-01,restated,2016-10,2018,0.8,1.0,0.9,0.9,1.9,1.7,,,,https://www.boj.or.jp/mopo/outlook/gor1701a.pdf,第3列なし(消費税率引き上げ延期のため)
2017-04,main,,2016,1.4,1.4,1.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,2016年度CPIは単一値(注4、3月前年比を2月と同じと仮定して計算)。第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-04,main,,2017,1.4,1.6,1.6,0.6,1.6,1.4,0.6,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-04,main,,2018,1.1,1.3,1.3,0.8,1.9,1.7,0.8,1.9,1.7,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-04,main,,2019,0.6,0.7,0.7,1.4,2.5,2.4,0.9,2.0,1.9,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,前号に無い最遠年度のため再掲行なし
2017-04,restated,2017-01,2016,1.2,1.5,1.4,-0.2,-0.1,-0.2,-0.2,-0.1,-0.2,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-04,restated,2017-01,2017,1.3,1.6,1.5,0.8,1.6,1.5,0.8,1.6,1.5,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-04,restated,2017-01,2018,1.0,1.2,1.1,0.9,1.9,1.7,0.9,1.9,1.7,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-07,main,,2017,1.5,1.8,1.8,0.5,1.3,1.1,0.5,1.3,1.1,https://www.boj.or.jp/mopo/outlook/gor1707a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-07,main,,2018,1.1,1.5,1.4,0.8,1.6,1.5,0.8,1.6,1.5,https://www.boj.or.jp/mopo/outlook/gor1707a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-07,main,,2019,0.7,0.8,0.7,1.4,2.5,2.3,0.9,2.0,1.8,https://www.boj.or.jp/mopo/outlook/gor1707a.pdf,
2017-07,restated,2017-04,2017,1.4,1.6,1.6,0.6,1.6,1.4,0.6,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor1707a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-07,restated,2017-04,2018,1.1,1.3,1.3,0.8,1.9,1.7,0.8,1.9,1.7,https://www.boj.or.jp/mopo/outlook/gor1707a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-07,restated,2017-04,2019,0.6,0.7,0.7,1.4,2.5,2.4,0.9,2.0,1.9,https://www.boj.or.jp/mopo/outlook/gor1707a.pdf,
2017-10,main,,2017,1.7,2.0,1.9,0.7,1.0,0.8,0.7,1.0,0.8,https://www.boj.or.jp/mopo/outlook/gor1710a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-10,main,,2018,1.2,1.4,1.4,1.1,1.6,1.4,1.1,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor1710a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-10,main,,2019,0.7,0.8,0.7,2.0,2.5,2.3,1.5,2.0,1.8,https://www.boj.or.jp/mopo/outlook/gor1710a.pdf,
2017-10,restated,2017-07,2017,1.5,1.8,1.8,0.5,1.3,1.1,0.5,1.3,1.1,https://www.boj.or.jp/mopo/outlook/gor1710a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-10,restated,2017-07,2018,1.1,1.5,1.4,0.8,1.6,1.5,0.8,1.6,1.5,https://www.boj.or.jp/mopo/outlook/gor1710a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017-10,restated,2017-07,2019,0.7,0.8,0.7,1.4,2.5,2.3,0.9,2.0,1.8,https://www.boj.or.jp/mopo/outlook/gor1710a.pdf,
2018-01,main,,2017,1.8,2.0,1.9,0.7,1.0,0.8,0.7,1.0,0.8,https://www.boj.or.jp/mopo/outlook/gor1801a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-01,main,,2018,1.3,1.5,1.4,1.3,1.6,1.4,1.3,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor1801a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-01,main,,2019,0.7,0.9,0.7,2.0,2.5,2.3,1.5,2.0,1.8,https://www.boj.or.jp/mopo/outlook/gor1801a.pdf,
2018-01,restated,2017-10,2017,1.7,2.0,1.9,0.7,1.0,0.8,0.7,1.0,0.8,https://www.boj.or.jp/mopo/outlook/gor1801a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-01,restated,2017-10,2018,1.2,1.4,1.4,1.1,1.6,1.4,1.1,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor1801a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-01,restated,2017-10,2019,0.7,0.8,0.7,2.0,2.5,2.3,1.5,2.0,1.8,https://www.boj.or.jp/mopo/outlook/gor1801a.pdf,
2018-04,main,,2017,1.8,1.9,1.9,0.7,0.7,0.7,0.7,0.7,0.7,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,単一値(実績値、注4)。第3列はCPIと同一セルとして結合表示(税制影響なし)。第3列見出しは「消費税率引き上げの影響を除くケース」(教育無償化の文言なし)
2018-04,main,,2018,1.4,1.7,1.6,1.2,1.3,1.3,1.2,1.3,1.3,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-04,main,,2019,0.7,0.9,0.8,2.0,2.3,2.3,1.5,1.8,1.8,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,
2018-04,main,,2020,0.6,1.0,0.8,2.0,2.3,2.3,1.5,1.8,1.8,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,当号で新規に対象年度に追加(再掲行なし)
2018-04,restated,2018-01,2017,1.8,2.0,1.9,0.7,1.0,0.8,0.7,1.0,0.8,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-04,restated,2018-01,2018,1.3,1.5,1.4,1.3,1.6,1.4,1.3,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-04,restated,2018-01,2019,0.7,0.9,0.7,2.0,2.5,2.3,1.5,2.0,1.8,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,
2018-07,main,,2018,1.3,1.5,1.5,1.0,1.2,1.1,1.0,1.2,1.1,https://www.boj.or.jp/mopo/outlook/gor1807a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。第3列見出しは「消費税率引き上げの影響を除くケース」
2018-07,main,,2019,0.7,0.9,0.8,1.8,2.1,2.0,1.3,1.6,1.5,https://www.boj.or.jp/mopo/outlook/gor1807a.pdf,
2018-07,main,,2020,0.6,0.9,0.8,1.9,2.1,2.1,1.4,1.6,1.6,https://www.boj.or.jp/mopo/outlook/gor1807a.pdf,
2018-07,restated,2018-04,2018,1.4,1.7,1.6,1.2,1.3,1.3,1.2,1.3,1.3,https://www.boj.or.jp/mopo/outlook/gor1807a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-07,restated,2018-04,2019,0.7,0.9,0.8,2.0,2.3,2.3,1.5,1.8,1.8,https://www.boj.or.jp/mopo/outlook/gor1807a.pdf,
2018-07,restated,2018-04,2020,0.6,1.0,0.8,2.0,2.3,2.3,1.5,1.8,1.8,https://www.boj.or.jp/mopo/outlook/gor1807a.pdf,
2018-10,main,,2018,1.3,1.5,1.4,0.9,1.0,0.9,0.9,1.0,0.9,https://www.boj.or.jp/mopo/outlook/gor1810a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。第3列見出しは「消費税率引き上げの影響を除くケース」
2018-10,main,,2019,0.8,0.9,0.8,1.8,2.0,1.9,1.3,1.5,1.4,https://www.boj.or.jp/mopo/outlook/gor1810a.pdf,
2018-10,main,,2020,0.6,0.9,0.8,1.9,2.1,2.0,1.4,1.6,1.5,https://www.boj.or.jp/mopo/outlook/gor1810a.pdf,
2018-10,restated,2018-07,2018,1.3,1.5,1.5,1.0,1.2,1.1,1.0,1.2,1.1,https://www.boj.or.jp/mopo/outlook/gor1810a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018-10,restated,2018-07,2019,0.7,0.9,0.8,1.8,2.1,2.0,1.3,1.6,1.5,https://www.boj.or.jp/mopo/outlook/gor1810a.pdf,
2018-10,restated,2018-07,2020,0.6,0.9,0.8,1.9,2.1,2.1,1.4,1.6,1.6,https://www.boj.or.jp/mopo/outlook/gor1810a.pdf,
2019-01,main,,2018,0.9,1.0,0.9,0.8,0.9,0.8,0.8,0.9,0.8,https://www.boj.or.jp/mopo/outlook/gor1901a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。当号(2019-01)から第3列見出しが「（参考）消費税率引き上げ・教育無償化政策の影響を除くケース」に変化(教育無償化政策の文言と「（参考）」が追加された最初の号)
2019-01,main,,2019,0.7,1.0,0.9,1.0,1.3,1.1,0.8,1.1,0.9,https://www.boj.or.jp/mopo/outlook/gor1901a.pdf,
2019-01,main,,2020,0.7,1.0,1.0,1.3,1.5,1.5,1.2,1.4,1.4,https://www.boj.or.jp/mopo/outlook/gor1901a.pdf,
2019-01,restated,2018-10,2018,1.3,1.5,1.4,0.9,1.0,0.9,0.9,1.0,0.9,https://www.boj.or.jp/mopo/outlook/gor1901a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2019-01,restated,2018-10,2019,0.8,0.9,0.8,1.5,1.7,1.6,1.3,1.5,1.4,https://www.boj.or.jp/mopo/outlook/gor1901a.pdf,再掲CPIが前号(2018-10)本紙掲載値(1.8~2.0<1.9>)と異なる。教育無償化政策の効果(注3試算-0.3pt)を遡って織り込んで再計算されたとみられる(cpi-extax=0.2=+0.5tax-0.3edu)。extax値は前号と一致
2019-01,restated,2018-10,2020,0.6,0.9,0.8,1.5,1.7,1.6,1.4,1.6,1.5,https://www.boj.or.jp/mopo/outlook/gor1901a.pdf,再掲CPIが前号(2018-10)本紙掲載値(1.9~2.1<2.0>)と異なる。教育無償化政策の効果(注3試算-0.4pt)を遡って織り込んで再計算されたとみられる(cpi-extax=0.1=+0.5tax-0.4edu)。extax値は前号と一致
2019-04,main,,2018,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,単一値(実績値、注4)。第3列はCPIと同一セルとして結合表示(税制影響なし)。第3列見出しは「（参考）消費税率引き上げ・教育無償化政策の影響を除くケース」
2019-04,main,,2019,0.7,0.9,0.8,0.9,1.2,1.1,0.7,1.0,0.9,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,
2019-04,main,,2020,0.8,1.1,0.9,1.2,1.5,1.4,1.1,1.4,1.3,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,
2019-04,main,,2021,0.9,1.2,1.2,1.4,1.7,1.6,1.4,1.7,1.6,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,当号で新規に対象年度に追加(再掲行なし)。第3列はCPIと同一セルとして結合表示(税制影響なし。増税・教育無償化とも前年度から変化なしのため)
2019-04,restated,2019-01,2018,0.9,1.0,0.9,0.8,0.9,0.8,0.8,0.9,0.8,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2019-04,restated,2019-01,2019,0.7,1.0,0.9,1.0,1.3,1.1,0.8,1.1,0.9,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,
2019-04,restated,2019-01,2020,0.7,1.0,1.0,1.3,1.5,1.5,1.2,1.4,1.4,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,
2019-07,main,,2019,0.6,0.9,0.7,0.8,1.1,1.0,0.6,0.9,0.8,https://www.boj.or.jp/mopo/outlook/gor1907a.pdf,第3列見出しは「（参考）消費税率引き上げ・教育無償化政策の影響を除くケース」
2019-07,main,,2020,0.8,1.0,0.9,1.1,1.4,1.3,1.0,1.3,1.2,https://www.boj.or.jp/mopo/outlook/gor1907a.pdf,
2019-07,main,,2021,0.9,1.2,1.1,1.3,1.7,1.6,1.3,1.7,1.6,https://www.boj.or.jp/mopo/outlook/gor1907a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2019-07,restated,2019-04,2019,0.7,0.9,0.8,0.9,1.2,1.1,0.7,1.0,0.9,https://www.boj.or.jp/mopo/outlook/gor1907a.pdf,
2019-07,restated,2019-04,2020,0.8,1.1,0.9,1.2,1.5,1.4,1.1,1.4,1.3,https://www.boj.or.jp/mopo/outlook/gor1907a.pdf,
2019-07,restated,2019-04,2021,0.9,1.2,1.2,1.4,1.7,1.6,1.4,1.7,1.6,https://www.boj.or.jp/mopo/outlook/gor1907a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2019-10,main,,2019,0.6,0.7,0.6,0.6,0.8,0.7,0.4,0.6,0.5,https://www.boj.or.jp/mopo/outlook/gor1910a.pdf,第3列見出しは「（参考）消費税率引き上げ・教育無償化政策の影響を除くケース」。注3の文言が「2019年10月に実施された消費税率引き上げ」に変化(引き上げが実施済みになったため)
2019-10,main,,2020,0.6,0.9,0.7,0.8,1.2,1.1,0.7,1.1,1.0,https://www.boj.or.jp/mopo/outlook/gor1910a.pdf,
2019-10,main,,2021,0.9,1.2,1.0,1.2,1.7,1.5,1.2,1.7,1.5,https://www.boj.or.jp/mopo/outlook/gor1910a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2019-10,restated,2019-07,2019,0.6,0.9,0.7,0.8,1.1,1.0,0.6,0.9,0.8,https://www.boj.or.jp/mopo/outlook/gor1910a.pdf,
2019-10,restated,2019-07,2020,0.8,1.0,0.9,1.1,1.4,1.3,1.0,1.3,1.2,https://www.boj.or.jp/mopo/outlook/gor1910a.pdf,
2019-10,restated,2019-07,2021,0.9,1.2,1.1,1.3,1.7,1.6,1.3,1.7,1.6,https://www.boj.or.jp/mopo/outlook/gor1910a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2020-01,main,,2019,0.8,0.9,0.8,0.6,0.7,0.6,0.4,0.5,0.4,https://www.boj.or.jp/mopo/outlook/gor2001a.pdf,第3列見出しは「（参考）消費税率引き上げ・教育無償化政策の影響を除くケース」
2020-01,main,,2020,0.8,1.1,0.9,1.0,1.1,1.0,0.9,1.0,0.9,https://www.boj.or.jp/mopo/outlook/gor2001a.pdf,
2020-01,main,,2021,1.0,1.3,1.1,1.2,1.6,1.4,1.2,1.6,1.4,https://www.boj.or.jp/mopo/outlook/gor2001a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2020-01,restated,2019-10,2019,0.6,0.7,0.6,0.6,0.8,0.7,0.4,0.6,0.5,https://www.boj.or.jp/mopo/outlook/gor2001a.pdf,
2020-01,restated,2019-10,2020,0.6,0.9,0.7,0.8,1.2,1.1,0.7,1.1,1.0,https://www.boj.or.jp/mopo/outlook/gor2001a.pdf,
2020-01,restated,2019-10,2021,0.9,1.2,1.0,1.2,1.7,1.5,1.2,1.7,1.5,https://www.boj.or.jp/mopo/outlook/gor2001a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)
2020-04,main,,2019,-0.4,-0.1,,0.6,0.6,,0.4,0.4,,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,この号は不確実性拡大を理由に中央値<>が号全体で非掲載(注1)。CPI(除く生鮮食品)は単一値で注4により実績値。消費税・教育無償化調整後も単一値(注3の計算値)で低高に同値を代入。実質GDPは範囲のまま。
2020-04,main,,2020,-5.0,-3.0,,-0.7,-0.3,,-0.8,-0.4,,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,中央値は号全体で非掲載(注1)。
2020-04,main,,2021,2.8,3.9,,0.0,0.7,,0.0,0.7,,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。中央値は号全体で非掲載(注1)。
2020-04,main,,2022,0.8,1.6,,0.4,1.0,,0.4,1.0,,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。この号で初めて視野に入った年度のため再掲行なし。中央値は号全体で非掲載(注1)。
2020-04,restated,2020-01,2019,0.8,0.9,,0.6,0.7,,0.4,0.5,,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,1月時点の見通し(2020年1月号)の再掲。中央値は号全体で非掲載(注1)。
2020-04,restated,2020-01,2020,0.8,1.1,,1.0,1.1,,0.9,1.0,,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,1月時点の見通し(2020年1月号)の再掲。中央値は号全体で非掲載(注1)。
2020-04,restated,2020-01,2021,1.0,1.3,,1.2,1.6,,1.2,1.6,,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。1月時点の見通し(2020年1月号)の再掲。中央値は号全体で非掲載(注1)。
2020-07,main,,2020,-5.7,-4.5,-4.7,-0.6,-0.4,-0.5,-0.7,-0.5,-0.6,https://www.boj.or.jp/mopo/outlook/gor2007a.pdf,中央値が復活した号。
2020-07,main,,2021,3.0,4.0,3.3,0.2,0.5,0.3,0.2,0.5,0.3,https://www.boj.or.jp/mopo/outlook/gor2007a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。
2020-07,main,,2022,1.3,1.6,1.5,0.5,0.8,0.7,0.5,0.8,0.7,https://www.boj.or.jp/mopo/outlook/gor2007a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。
2020-07,restated,2020-04,2020,-5.0,-3.0,,-0.7,-0.3,,-0.8,-0.4,,https://www.boj.or.jp/mopo/outlook/gor2007a.pdf,4月時点の見通し(2020年4月号)の再掲。再掲元(2020年4月号)は中央値非掲載のためこの行も中央値なし。
2020-07,restated,2020-04,2021,2.8,3.9,,0.0,0.7,,0.0,0.7,,https://www.boj.or.jp/mopo/outlook/gor2007a.pdf,4月時点の見通し(2020年4月号)の再掲。第3列はCPIと同一セルとして結合表示(税制影響なし)。再掲元は中央値非掲載のためこの行も中央値なし。
2020-07,restated,2020-04,2022,0.8,1.6,,0.4,1.0,,0.4,1.0,,https://www.boj.or.jp/mopo/outlook/gor2007a.pdf,4月時点の見通し(2020年4月号)の再掲。第3列はCPIと同一セルとして結合表示(税制影響なし)。再掲元は中央値非掲載のためこの行も中央値なし。
2020-10,main,,2020,-5.6,-5.3,-5.5,-0.7,-0.5,-0.6,-0.8,-0.6,-0.7,https://www.boj.or.jp/mopo/outlook/gor2010a.pdf,
2020-10,main,,2021,3.0,3.8,3.6,0.2,0.6,0.4,0.2,0.6,0.4,https://www.boj.or.jp/mopo/outlook/gor2010a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。
2020-10,main,,2022,1.5,1.8,1.6,0.4,0.7,0.7,0.4,0.7,0.7,https://www.boj.or.jp/mopo/outlook/gor2010a.pdf,第3列はCPIと同一セルとして結合表示(税制影響なし)。中央値0.7は上限値と同値(原資料どおり)。
2020-10,restated,2020-07,2020,-5.7,-4.5,-4.7,-0.6,-0.4,-0.5,-0.7,-0.5,-0.6,https://www.boj.or.jp/mopo/outlook/gor2010a.pdf,7月時点の見通し(2020年7月号)の再掲。
2020-10,restated,2020-07,2021,3.0,4.0,3.3,0.2,0.5,0.3,0.2,0.5,0.3,https://www.boj.or.jp/mopo/outlook/gor2010a.pdf,7月時点の見通し(2020年7月号)の再掲。第3列はCPIと同一セルとして結合表示(税制影響なし)。
2020-10,restated,2020-07,2022,1.3,1.6,1.5,0.5,0.8,0.7,0.5,0.8,0.7,https://www.boj.or.jp/mopo/outlook/gor2010a.pdf,7月時点の見通し(2020年7月号)の再掲。第3列はCPIと同一セルとして結合表示(税制影響なし)。
